id,subject,metric,games,mean,error,interval,verdict,seed,seats,question,command
ladder.composition.simple-over-warden.4-of-5,"simple over warden, 4 of 5 row seats",win rate margin,1335,-0.043071,0.014499,0.028418,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.simple-over-opportunist.1-of-5,"simple over opportunist, 1 of 5 row seats",win rate margin,1335,-0.099251,0.011145,0.021845,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.simple-over-opportunist.4-of-5,"simple over opportunist, 4 of 5 row seats",win rate margin,1335,-0.147940,0.015943,0.031247,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.simple-over-angler.1-of-5,"simple over angler, 1 of 5 row seats",win rate margin,1335,-0.091760,0.011380,0.022304,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.simple-over-angler.4-of-5,"simple over angler, 4 of 5 row seats",win rate margin,1335,-0.161985,0.016088,0.031531,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.simple-over-sprinter.1-of-5,"simple over sprinter, 1 of 5 row seats",win rate margin,1335,-0.094569,0.011293,0.022134,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.simple-over-sprinter.4-of-5,"simple over sprinter, 4 of 5 row seats",win rate margin,1335,-0.163858,0.016106,0.031567,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-cautious.1-of-5,"greedy over cautious, 1 of 5 row seats",win rate margin,1335,0.006554,0.013822,0.027091,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-cautious.4-of-5,"greedy over cautious, 4 of 5 row seats",win rate margin,1335,0.013109,0.013413,0.026289,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-counting.1-of-5,"greedy over counting, 1 of 5 row seats",win rate margin,1335,0.039326,0.014435,0.028291,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-counting.4-of-5,"greedy over counting, 4 of 5 row seats",win rate margin,1335,0.010300,0.013474,0.026408,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-outs.1-of-5,"greedy over outs, 1 of 5 row seats",win rate margin,1335,-0.030899,0.013012,0.025504,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-outs.4-of-5,"greedy over outs, 4 of 5 row seats",win rate margin,1335,-0.022472,0.014130,0.027695,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-warden.1-of-5,"greedy over warden, 1 of 5 row seats",win rate margin,1335,0.060861,0.014793,0.028995,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-warden.4-of-5,"greedy over warden, 4 of 5 row seats",win rate margin,1335,0.043071,0.012720,0.024931,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-opportunist.1-of-5,"greedy over opportunist, 1 of 5 row seats",win rate margin,1335,-0.020599,0.013248,0.025965,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-opportunist.4-of-5,"greedy over opportunist, 4 of 5 row seats",win rate margin,1335,-0.012172,0.013933,0.027309,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-angler.1-of-5,"greedy over angler, 1 of 5 row seats",win rate margin,1335,-0.030899,0.013012,0.025504,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-angler.4-of-5,"greedy over angler, 4 of 5 row seats",win rate margin,1335,-0.026217,0.014200,0.027831,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-sprinter.1-of-5,"greedy over sprinter, 1 of 5 row seats",win rate margin,1335,-0.044944,0.012674,0.024840,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.greedy-over-sprinter.4-of-5,"greedy over sprinter, 4 of 5 row seats",win rate margin,1335,-0.032772,0.014319,0.028064,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-counting.1-of-5,"cautious over counting, 1 of 5 row seats",win rate margin,1335,0.029963,0.014268,0.027965,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-counting.4-of-5,"cautious over counting, 4 of 5 row seats",win rate margin,1335,-0.009363,0.013878,0.027201,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-outs.1-of-5,"cautious over outs, 1 of 5 row seats",win rate margin,1335,-0.022472,0.013206,0.025883,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-outs.4-of-5,"cautious over outs, 4 of 5 row seats",win rate margin,1335,-0.026217,0.014200,0.027831,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-warden.1-of-5,"cautious over warden, 1 of 5 row seats",win rate margin,1335,0.072097,0.014968,0.029337,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-warden.4-of-5,"cautious over warden, 4 of 5 row seats",win rate margin,1335,0.045880,0.012650,0.024794,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-opportunist.1-of-5,"cautious over opportunist, 1 of 5 row seats",win rate margin,1335,-0.014981,0.013372,0.026209,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-opportunist.4-of-5,"cautious over opportunist, 4 of 5 row seats",win rate margin,1335,-0.017790,0.014042,0.027521,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-angler.1-of-5,"cautious over angler, 1 of 5 row seats",win rate margin,1335,-0.021536,0.013227,0.025924,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-angler.4-of-5,"cautious over angler, 4 of 5 row seats",win rate margin,1335,-0.026217,0.014200,0.027831,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-sprinter.1-of-5,"cautious over sprinter, 1 of 5 row seats",win rate margin,1335,-0.034644,0.012924,0.025331,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.cautious-over-sprinter.4-of-5,"cautious over sprinter, 4 of 5 row seats",win rate margin,1335,-0.016854,0.014024,0.027486,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-outs.1-of-5,"counting over outs, 1 of 5 row seats",win rate margin,1335,-0.015918,0.013352,0.026169,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-outs.4-of-5,"counting over outs, 4 of 5 row seats",win rate margin,1335,-0.018727,0.014060,0.027556,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-warden.1-of-5,"counting over warden, 1 of 5 row seats",win rate margin,1335,0.073970,0.014996,0.029392,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-warden.4-of-5,"counting over warden, 4 of 5 row seats",win rate margin,1335,0.073034,0.011931,0.023384,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-opportunist.1-of-5,"counting over opportunist, 1 of 5 row seats",win rate margin,1335,-0.012172,0.013433,0.026329,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-opportunist.4-of-5,"counting over opportunist, 4 of 5 row seats",win rate margin,1335,0.000936,0.013670,0.026793,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-angler.1-of-5,"counting over angler, 1 of 5 row seats",win rate margin,1335,-0.014981,0.013372,0.026209,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-angler.4-of-5,"counting over angler, 4 of 5 row seats",win rate margin,1335,-0.021536,0.014113,0.027660,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-sprinter.1-of-5,"counting over sprinter, 1 of 5 row seats",win rate margin,1335,-0.023408,0.013185,0.025841,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.counting-over-sprinter.4-of-5,"counting over sprinter, 4 of 5 row seats",win rate margin,1335,-0.020599,0.014095,0.027626,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.outs-over-warden.1-of-5,"outs over warden, 1 of 5 row seats",win rate margin,1335,0.105805,0.015443,0.030269,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.outs-over-warden.4-of-5,"outs over warden, 4 of 5 row seats",win rate margin,1335,0.062734,0.012214,0.023939,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.outs-over-opportunist.1-of-5,"outs over opportunist, 1 of 5 row seats",win rate margin,1335,-0.008427,0.013514,0.026486,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.outs-over-opportunist.4-of-5,"outs over opportunist, 4 of 5 row seats",win rate margin,1335,-0.002809,0.013747,0.026944,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.outs-over-angler.1-of-5,"outs over angler, 1 of 5 row seats",win rate margin,1335,-0.002809,0.013632,0.026717,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.outs-over-angler.4-of-5,"outs over angler, 4 of 5 row seats",win rate margin,1335,-0.013109,0.013952,0.027345,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.outs-over-sprinter.1-of-5,"outs over sprinter, 1 of 5 row seats",win rate margin,1335,-0.013109,0.013413,0.026289,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.outs-over-sprinter.4-of-5,"outs over sprinter, 4 of 5 row seats",win rate margin,1335,-0.002809,0.013747,0.026944,inside the interval,20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.warden-over-opportunist.1-of-5,"warden over opportunist, 1 of 5 row seats",win rate margin,1335,-0.066479,0.012113,0.023740,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.warden-over-opportunist.4-of-5,"warden over opportunist, 4 of 5 row seats",win rate margin,1335,-0.067416,0.014896,0.029196,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
